Sentence,Anger,Disgust,Fear,Joy,Sadness,Top Feeling
The story was just plain bad and obnoxious.,0.401293,0.421428,0.209411,0.001279,0.203762,Disgust
Dee and Dawn are your beyond stupid stereotypical blondes they really dont have a clue when it comes to what is going on in the world its just really sad.,0.167993,0.068651,0.150958,0.002318,0.721858,Sadness
But when the girls are somehow mistaken for murder assassins the cops are on their tale and are actually calling the girls geniuses due to their ignorance is bliss attitudes.,0.444864,0.460512,0.16153,0.039565,0.078321,Disgust
They are set up to make a hit on a guy and they think theyre just going to show him a good time but the real assassin is ticked and wants the case and to kill the girls.,0.249277,0.328106,0.128571,0.053681,0.361134,Sadness
Denise and Pam just look very awkward on the screen and almost like they read the script the day before.,0.093654,0.388988,0.261519,0.056759,0.299617,Disgust
I know that this was supposed to be the stupid comedy but it was more than stupid it went onto obnoxious and was just unnecessary.,0.525923,0.086464,0.121018,0.000781,0.432473,Anger
The only scary thing about this movie is the thought that whoever made it might make a sequel.,0.063102,0.090471,0.547915,0.169157,0.08184,Fear
From start to finish The Tooth Fairy was just downright terrible.,0.232716,0.197841,0.203067,0.006907,0.520643,Sadness
It seemed like a badlyacted childrens movie which got confused with a Wizard of Oz witch melting and happy kiddies ending combined with some bad gore effects and swearing.,0.073473,0.070006,0.154822,0.010301,0.763871,Sadness
Half of the cast seem completely unnecessary except for conveniently being there to get murdered in some fashion.,0.245705,0.487664,0.195548,0.008288,0.268079,Disgust
The sister of the two brothers Cherise the aura reader and Mrs. McDonald have entirely no point in the film  they could have included them in the main plot for some interesting side stories but apparently couldnt be bothered.,0.17189,0.333891,0.047728,0.043262,0.504503,Sadness
The people watching the film know the characters are there for some bloody death scene but come on at least TRY and have a slight plot for them.,0.199579,0.348304,0.085008,0.001613,0.539902,Sadness
The story in general is weak with erratic behavior from the characters that makes you wish they all get eaten by the witch.,0.215449,0.358459,0.133501,0.011713,0.450973,Sadness
Add the weak plot and the weak acting together the children are particularly wooden and the movie ends up a complete failure.,0.346259,0.357494,0.08287,0.009239,0.394215,Sadness
If only MST3K could have had a go at this one .,0.042536,0.038784,0.311241,0.01222,0.660063,Sadness
Tracing outrageously the plot of Jaws the script fails at creating any suspense what so ever.,0.330702,0.168162,0.365921,0.016161,0.291537,Fear
The creature is ludicrous and its victims are simply despicable.,0.302418,0.722666,0.022072,0.002902,0.131242,Disgust
Stelvio Ciprianis lame tune poorly illustrates the adventures of these silly tourists presented from the very beginning as the obvious items of the reptiles meal.,0.150058,0.137966,0.074077,0.024627,0.693823,Sadness
No thrill out of this rather laughters actually And we could find this pitiful flick quite funny if the dialogs and the appearance of the natives were not so obviously inspired by pure racism.,0.079865,0.058473,0.047562,0.597358,0.093407,Joy
Very soon the giggling stops in favor of a sour feeling witnessing such a patronizing attitude.,0.375319,0.450475,0.059188,0.067164,0.175543,Disgust
We could excuse badly made films and poor FXs but not that kind of mentality.,0.252346,0.475983,0.193439,0.000763,0.293928,Disgust
I saw this film on the History Channel today in 2006.,0.090602,0.38252,0.165271,0.094199,0.321768,Disgust
First of all I realize that this is not a documentary  that it is a drama.,0.08979,0.078324,0.111886,0.220039,0.399973,Sadness
But one might hope that at least the critical facts that the story turns on might be based on actual events.,0.131703,0.253483,0.41593,0.039373,0.283586,Fear
Reagan was shot and the other characters were real people.,0.191972,0.413756,0.071687,0.020978,0.45234,Sadness
The movie got that right.,0.120733,0.041781,0.09034,0.42131,0.184188,Joy
From there on reliance on facts rapidly decays.,0.14351,0.268116,0.234083,0.012722,0.488385,Sadness
I had never heard of this movie before seeing it.,0.059606,0.20183,0.132753,0.093072,0.518861,Sadness
Having been a TV reporter at the time of these events I was stunned that I had never heard anything about the bizarre behavior of Secretary Haig as portrayed by Richard Dreyfuss.,0.292724,0.26155,0.089665,0.005491,0.519793,Sadness
The whole nation had heard the I am in control.,0.237981,0.328677,0.171194,0.039999,0.36218,Sadness
but Dreufuss Haig is bullying a cowered cabinet and totally out of control personally.,0.539519,0.448862,0.097371,0.011536,0.121049,Anger
Incredibly many the the principal facts of the film meant to show a White House Secret Service etc. in total chaos  and the nations leadership behaving irrationally and driving the world near the brink of nuclear war  are demonstrably incorrect.,0.456713,0.454599,0.166438,0.019329,0.113738,Anger
They didnt happen There is internal conflict to be sure.,0.25127,0.0794,0.249831,0.029424,0.49639,Sadness
Haig makes missteps his press room performance is historically regrettable and he is difficult.,0.172647,0.433271,0.213865,0.026856,0.309896,Disgust
But there is nothing approaching the scenes depicted in the film.,0.142215,0.655349,0.04438,0.052052,0.201207,Disgust
Enlighten Inform Entertain I believe they failed on all three fronts.,0.278185,0.23234,0.060063,0.047124,0.490563,Sadness
It is difficult to ascribe motives to others but one must seriously question what was behind such shameless invention.,0.295693,0.487981,0.160786,0.004432,0.264585,Disgust
So the viewer was left to research those without much  if any  help from the network.,0.080289,0.012943,0.32188,0.011444,0.642602,Sadness
Yikes it was definitely one of those sleepless nights where I surfed the channels and bumped into this stinker of a movie.,0.181222,0.096159,0.170352,0.195265,0.302042,Sadness
For some of the names in the cast Id expect a much better movie.,0.136266,0.049505,0.0311,0.413693,0.227156,Joy
Im almost embarrassed to see Oscar Winner F. Murray Abraham being reduced to such a horrible part.,0.055037,0.591604,0.279551,0.008173,0.228443,Disgust
I hope the money was worth it.,0.03845,0.18881,0.109012,0.480209,0.06629,Joy
And the students they talked about fencing like they were talking about survival in a war or through a horrible disaster.,0.165306,0.444592,0.140412,0.002777,0.430711,Disgust
I mean Ive fenced its a fun sport but Ive never been that intense.,0.060254,0.022657,0.031915,0.593781,0.144678,Joy
The only reason I even watched this entire movie was because the remote fell under the sofa and I was too lazy to get it back.,0.14548,0.132043,0.327176,0.091523,0.33928,Sadness
I watched the movie in a preview and I really loved it.,0.059395,0.031204,0.015071,0.629712,0.12758,Joy
The cast is excellent and the plot is sometimes absolutely hilarious.,0.054748,0.085253,0.016335,0.673685,0.06287,Joy
Another highlight of the movie is definitely the music which hopefully will be released soon.,0.054121,0.020461,0.230798,0.474283,0.074608,Joy
I recommend it to everyone who likes the British humour and especially to all musicians.,0.153991,0.092937,0.05006,0.411674,0.167433,Joy
Go and see.,0.020564,0.115798,0.228322,0.327146,0.182284,Joy
Imagine the worst skits from Saturday Night Live and Mad TV in one 90 minute movie.,0.446219,0.21337,0.175331,0.021762,0.31633,Anger
Now imagine that all the humor in those bad skits is removed and replaced with stupidity.,0.329385,0.48228,0.13026,0.004939,0.269491,Disgust
Now imagine something 50 times worse.,0.152803,0.236911,0.415986,0.010871,0.348072,Fear
Got thatOk now go see The Underground Comedy Movie.,0.035478,0.092027,0.178852,0.378083,0.176744,Joy
That vision you just had will seem like the funniest thing ever.,0.030081,0.128738,0.024985,0.390906,0.271242,Joy
UCM is the single worst movie Ive ever seen.,0.102073,0.262578,0.26798,0.013494,0.491795,Sadness
There were a few cheap laughs.,0.041548,0.17679,0.100728,0.210781,0.380903,Sadness
But it was lame.,0.142405,0.092134,0.389951,0.008618,0.493305,Sadness
Even if the intent of the movie was to be lame it was too lame to be funny.,0.076321,0.145905,0.168394,0.069397,0.564866,Sadness
The only reason Im not angry for wasting my time watching this was someone else I know bought it.,0.340654,0.256342,0.024791,0.005658,0.541067,Sadness
He wasted his money.,0.374143,0.390605,0.131946,0.005252,0.311527,Disgust
Vince Offer hasnt written or directed anything else and its not surprise why.,0.137418,0.124686,0.12802,0.07713,0.555644,Sadness
Im a Christian.,0.200939,0.408998,0.03966,0.117809,0.279592,Disgust
I have always been skeptical about movies made by Christians however.,0.183613,0.131336,0.068214,0.22944,0.313508,Sadness
As a rule they are knownothings when it comes to movie production.,0.064369,0.06819,0.110671,0.33256,0.281931,Joy
I admire TBN for trying to present God and Jesus in a positive and honest way on the screen.,0.063335,0.022056,0.024577,0.712784,0.069278,Joy
However they did a hideous job of it.,0.194535,0.181887,0.3183,0.056097,0.340159,Sadness
The acting was horrible and unless one is familiar with the Bible in some fashion one COULD NOT have understood what the movie was trying to get across.,0.111753,0.319046,0.202043,0.001017,0.53076,Sadness
Not only was the movie terribly made but the people who made it even had some facts wrong.,0.142483,0.39487,0.039718,0.006014,0.566011,Sadness
However in this critique those facts are irrelevent and too deep to delve into.,0.19018,0.200406,0.149928,0.068145,0.46105,Sadness
In short the Omega Code is the absolute worst movie I have ever seen and I would not recommend it to anyone except for comic relief from the every day grind.,0.234989,0.27882,0.285826,0.007945,0.376882,Sadness
I bought this on DVD for my brother who is a big Michelle Pfeiffer fan.,0.095845,0.343948,0.032111,0.219124,0.255619,Disgust
I decided to watch it myself earlier this week.,0.081405,0.02892,0.02874,0.348143,0.348683,Sadness
It is a reasonably entertaining piece containing two completely separate story lines.,0.149585,0.261621,0.020007,0.232018,0.292178,Sadness
The section with Michelle Pfeiffer was by far the more interesting of the two.,0.259798,0.035206,0.044519,0.238754,0.333108,Sadness
She plays a rising Hollywood actress who has had many short unfulfilling relationships.,0.146043,0.14325,0.21015,0.156665,0.322868,Sadness
She literally bumps into Brian Kerwin A regular married guy with Kidsafter driving her car into the back of his.,0.327304,0.240678,0.211163,0.073065,0.253178,Anger
After being initially hostile to one another he offers to drive her home as she no longer feels comfortable to drive.,0.099011,0.027086,0.144161,0.040269,0.711437,Sadness
Romance develops eventually leading to tragedy when his wife finds out.,0.117235,0.300244,0.125296,0.026778,0.544155,Sadness
What happens at the end I was not prepared for but the slow pacing and routine TV direction takes any drama out of the plot.,0.245206,0.097564,0.101284,0.010599,0.6614,Sadness
The other section involves an old Studio boss played by Darren McGavin.,0.286573,0.205365,0.246907,0.062053,0.304383,Sadness
This section actually has the better cast with Kenneth McMillan Lois Chiles Steven Bauer  Stella Stevens.,0.232651,0.042477,0.075867,0.341442,0.196212,Joy
They all want something from the studio boss but in the end when he is asked to resign they all realize their careers will now be going nowhere.,0.221154,0.143221,0.204671,0.002779,0.579061,Sadness
It passes the time but is not all that interesting and I am glad this was not bought for me.,0.062922,0.027986,0.02028,0.607174,0.138929,Joy
I am not a Michelle Pffeifer fan but she was admittedly the only actor worth watching in this film and even in 1983 she was a decent actress.,0.055546,0.346107,0.017016,0.376795,0.104451,Joy
Overall though unless you are a fan of hers avoid this as it is very routine.,0.298434,0.303637,0.220232,0.012079,0.357188,Sadness
Can anybody do good CGI films besides Pixar I mean really animation looked antiquated by 2006 standards and even by 1995 Toy Story standards.,0.070412,0.267159,0.111297,0.182037,0.325073,Sadness
Or maybe they spent all their budget on Hugh Jackman.,0.188594,0.21325,0.153323,0.079501,0.430265,Sadness
Whatever their reasoning the story truly did suck.,0.286274,0.169424,0.061605,0.080826,0.460024,Sadness
Somehow Hugh Jackman is a rat  a rat that is flushed down a toilet.,0.075148,0.88484,0.087625,0.001161,0.056192,Disgust
Yeah I know seems stereotypical.,0.049383,0.107241,0.167074,0.009859,0.747135,Sadness
But then the sewer mimicked the ways of London  to an extent.,0.092709,0.215986,0.063833,0.294245,0.237274,Joy
Throw in a promise of jewels  and an evil frog and you get a pathetic attempt at entertainment.,0.273756,0.641656,0.048157,0.008093,0.213874,Disgust
I would like to say something entertained me.,0.102319,0.157372,0.070604,0.296127,0.271725,Joy
Maybe the hookup in the movie Or maybe the happilyeverafter rat relationship.,0.139817,0.639736,0.206517,0.011191,0.171939,Disgust
But nothing did.,0.170852,0.132864,0.169519,0.17763,0.315218,Sadness
It had the talent but it blew up.,0.139898,0.10382,0.356998,0.140031,0.251478,Fear
While I certainly consider The Exorcist to be a horror classic I have to admit that I dont hold it in quite as high regard as many other horror fans do.,0.031399,0.29472,0.743849,0.005519,0.06172,Fear
Its not hard to guess what the plot will be basically its the same as the one in The Exorcist and sees a girl get possessed by a demonic spirit which happens to be the spirit of her dead father.,0.058596,0.113063,0.268281,0.014729,0.627755,Sadness
The village priest is then called in to perform the exorcism.,0.1828,0.133444,0.234283,0.02122,0.543165,Sadness
Like many Spanish horror films this one stars Paul Naschy who is pretty much the best thing about the film.,0.006915,0.063975,0.291182,0.471833,0.024887,Joy
Exorcismo was directed by Juan Bosch who previously directed the derivative Spanish Giallo The Killer Wore Gloves.,0.270163,0.186315,0.166901,0.094264,0.346522,Sadness
I havent seen any of his other films but on the basis of these two I believe that originality wasnt one of his strong points.,0.181316,0.117387,0.033023,0.218285,0.37609,Sadness
Theres not a lot of good things I can say about the film itself.,0.063124,0.109451,0.048152,0.556044,0.098073,Joy
it mostly just plods along and the exorcism scene isnt worth waiting for.,0.13334,0.3061,0.118713,0.032408,0.518787,Sadness
I certainly dont recommend it.,0.178613,0.130972,0.150556,0.158467,0.35707,Sadness
Another entry in the holiday horror category that fills the shelves of your local video store.,0.039061,0.153222,0.53682,0.015391,0.359278,Fear
The spoiler wronged nerdy teen taking revenge on the cool kids who wronged him plot will of course be familiar to those whove watched it before.,0.346786,0.198047,0.077062,0.01118,0.522959,Sadness
And those whove seen it before will probably watch it again.,0.040734,0.155874,0.110016,0.299637,0.275834,Joy
those who are expecting Ingmar Bergman and will subsequently become indignant about their wasted time should just skip it.,0.638999,0.106792,0.09213,0.010098,0.30316,Anger
Marilyn Manson on the soundtrack and David Boreanaz Denise Richards and Katherine Heigl as eye candygo with the flow and enjoy it.,0.011029,0.141508,0.088473,0.647438,0.009297,Joy
Oh and I loved the creepy mask.,0.029189,0.005726,0.345893,0.396353,0.070859,Joy
I thought Harvey Keitel a young fresh from the Sex Pistols John Lydon then as a bonus the music by Ennio Morricone.,0.061786,0.217095,0.039122,0.493004,0.076819,Joy
I expected an oldschool edgy Italian cop thriller that was made in America.,0.276622,0.378234,0.216044,0.035674,0.259095,Disgust
Istead I got a mishmash story that never made sense and a movie that left me saying WTF Too many unanswered questions and not enough action.,0.296169,0.142285,0.073378,0.000841,0.638614,Sadness
The result a potential cult classic got flushed down the toilet.,0.054166,0.848508,0.08696,0.014155,0.083209,Disgust
Keitel and Lydon work well together so maybe Quentin Tarantino can reunite these guys with better script.,0.104753,0.065254,0.203906,0.443907,0.060902,Joy
Oh and the Morricone score OK but not memorable.,0.037612,0.011043,0.45661,0.173602,0.239559,Fear
Overall not a waste of time but not a must see unless you are a hardcore Keitel fan.,0.191595,0.495221,0.063671,0.096538,0.222495,Disgust
The villian in this movie is one mean sob and he seems to enjoy what he is doing that is what I guess makes him so mean.,0.355221,0.039685,0.068909,0.115774,0.424167,Sadness
I dont think most men will like this movie especially if they ever cheated on their wife.,0.23161,0.712754,0.075275,0.013154,0.133316,Disgust
This is one of those movies that pretty much stays pretty mean to the very end.,0.057212,0.031153,0.08322,0.413271,0.250391,Joy
But then there you have it a candybar ending that makes me look back and say HOKIE AS HELL.,0.323542,0.290583,0.1265,0.016304,0.417342,Sadness
A pretty good movie until the end.,0.040823,0.021453,0.051385,0.580347,0.152218,Joy
Ending is the ending we would like to see but not the ending to such a mean beginning.,0.104146,0.140172,0.187635,0.164031,0.365928,Sadness
And then there is the aftermath of what happened.,0.134385,0.173567,0.194239,0.005907,0.62229,Sadness
Guess you can make up your own mind about the true ending.,0.049083,0.024018,0.094447,0.340737,0.326025,Joy
Im left feeling that only one character should have survived at the end.,0.134228,0.054734,0.300795,0.019379,0.580961,Sadness
As a Dane Im proud of the handful of good Danish movies that have been produced in recent years.,0.009009,0.040939,0.010992,0.770266,0.070656,Joy
Its a terrible shame however that this surge in quality has led the majority of Danish movie critics to lose their sense of criticism.,0.387289,0.119479,0.097241,0.001729,0.556175,Sadness
In fact it has become so bad that I no longer trust any reviews of Danish movies and as a result I have stopped watching them in theaters.,0.275073,0.197156,0.192318,0.034433,0.437295,Sadness
I know its wrong to hold this unfortunate development against any one movie so let me stress that Villa Paranoia would be a terrible film under any circumstances.,0.172841,0.120153,0.492921,0.000245,0.37121,Fear
The fact that it was hyped by the critics just added fuel to my bonfire of disillusionment with Danish film.,0.391018,0.328466,0.089513,0.040707,0.297612,Anger
Furthermore waiting until it came out on DVD was very little help against the unshakable feeling of having wasted time and money.,0.221998,0.075982,0.143678,0.009497,0.66119,Sadness
Erik Clausen is an accomplished director with a knack for social realism in Copenhagen settings.,0.100496,0.063262,0.146899,0.406496,0.158435,Joy
I particularly enjoyed De Frigjorte 1993.,0.061117,0.061983,0.019632,0.747806,0.026914,Joy
This is problem number one in Villa Paranoia.,0.158629,0.09957,0.370316,0.009023,0.492556,Sadness
Clausen casts himself as a chicken farmer which is such a break from the norm that he never succeeds in making it credible.,0.154838,0.118159,0.101168,0.166668,0.417832,Sadness
It is much worse however that the film has to make twists and turns and break all rules of how to tell a story to make the audience understand what is going on.,0.135385,0.248011,0.135658,0.004401,0.621116,Sadness
For instance the movie opens with a very sad attempt at visualizing the neardeath experience of the main character with the use of lowbudget effects and bad camera work.,0.023115,0.043105,0.251407,0.000892,0.756514,Sadness
After that the character tells her best friend that she suddenly felt the urge to throw herself off a bridge.,0.313725,0.31606,0.333464,0.019456,0.212539,Fear
This is symptomatic of the whole movie.,0.084034,0.202575,0.09584,0.33323,0.180944,Joy
there is little or no motivation for the actions of the characters and Clausen resorts to the lowest form of communicating whatever motivation there is Telling instead of showing.,0.238878,0.299569,0.113315,0.008017,0.508111,Sadness
Thus at one point you have a character talking out loud to a purportedly catatonic person about the way he feels because the script wouldnt allow him to act out his feelings.,0.477286,0.159895,0.074216,0.08476,0.285708,Anger
and later on voiceover is abruptly introduced quite possibly as an afterthought to convey feelings that would otherwise remain unknown to the audience due to the directors ineptitude.,0.182337,0.125627,0.43538,0.024625,0.354073,Fear
Fortunately at this point youre roughly an hour past caring about any of the characters let alone the socalled story.,0.163607,0.152099,0.101782,0.019188,0.661063,Sadness
I give this a 2outof10 rating.,0.197332,0.11872,0.339072,0.062637,0.352688,Sadness
I have decided to not believe what famous movie critics say.,0.186774,0.408734,0.067893,0.063537,0.370243,Disgust
Even though this movie did not get the best comments this movie made my day.,0.222154,0.043663,0.114657,0.41164,0.096796,Joy
It got me thinking.,0.10681,0.15521,0.266361,0.062784,0.468104,Sadness
What a false world this is.,0.203535,0.238804,0.160959,0.089404,0.373866,Sadness
What do you do when your most loved ones deceive you.,0.174139,0.054609,0.034871,0.364824,0.240057,Joy
Its said that no matter how often you feed milk to a snake it can never be loyal and will bite when given a chance.,0.083984,0.570907,0.032391,0.029897,0.388697,Disgust
Same way some people are such that they are never grateful.,0.19398,0.201142,0.052236,0.205604,0.310645,Sadness
This movie is about how selfish people can be and how everyone is ultimately just thinking about oneself and working for oneself.,0.27841,0.340393,0.129912,0.052938,0.329226,Disgust
A brother dies inadvertently at the hands of a gangster.,0.045691,0.220756,0.22849,0.028419,0.564177,Sadness
The surviving brother decides to take revenge.,0.35705,0.068616,0.249717,0.114285,0.246749,Anger
Through this process we learn about the futility of this world.,0.113996,0.048672,0.075402,0.445872,0.173584,Joy
Nothing is real and no one is loyal to anyone.,0.071947,0.245396,0.037408,0.00747,0.741932,Sadness
Amitabh gave the performance of his life.,0.022268,0.073868,0.04987,0.548038,0.154792,Joy
The new actor Aryan gave a good performance.,0.021081,0.022272,0.034861,0.769516,0.055967,Joy
The actress who played the wife of Amitabh stole the show.,0.348442,0.350225,0.09516,0.030566,0.335161,Disgust
Her role was small but she portrayed her role so diligently that one is moved by her performance.,0.100284,0.095252,0.105526,0.31295,0.266019,Joy
Chawla had really great face expressions but her role was very limited and was not given a chance to fully express herself.,0.376623,0.140299,0.068459,0.100506,0.354494,Anger
A great movie by Raj Kumar Santoshi.,0.034153,0.030634,0.0658,0.693717,0.061015,Joy
His movies always give some message to the audience.,0.161812,0.021493,0.126586,0.221551,0.372037,Sadness
His movies are like novels of Nanak Singh a Punjabi novelist whos novels always had a purpose and targeted a social evil because they have a real message for the audience.,0.277521,0.132923,0.289485,0.127964,0.204696,Fear
They are entertaining as well as lessongiving.,0.057908,0.029268,0.075604,0.563162,0.128814,Joy
theyre about five feet apart Noonan is throwing them in between and the total reaction is that everyone flinches.,0.357603,0.55361,0.103992,0.004187,0.197552,Disgust
It isnt enough to save this turkey alas.,0.087816,0.07432,0.280115,0.009573,0.642467,Sadness
I am still a fan.,0.06913,0.590899,0.011735,0.053728,0.34744,Disgust
with some minor pains.,0.040479,0.156636,0.213399,0.015937,0.661937,Sadness
I mean he whines more than an American character on a soap opera.,0.211781,0.37122,0.06565,0.023384,0.471442,Sadness
I mean it can always be worse.,0.275106,0.05112,0.21925,0.001294,0.59422,Sadness
It could be like the recent installment SEED.,0.110459,0.218032,0.188035,0.103829,0.405622,Sadness
eeeewwww talk about mellowdramatic.,0.223985,0.132305,0.191373,0.113799,0.365293,Sadness
Ill chat about that one later.,0.378956,0.020598,0.424222,0.041778,0.242714,Fear
What a terrible film.,0.455664,0.449664,0.20947,0.002289,0.126277,Anger
It starts well with the title sequence but thats about as good as it gets.,0.044205,0.006323,0.035138,0.42478,0.30518,Joy
The movie is something about rats turning into monsters and going on a killing spree.,0.095547,0.701439,0.167899,0.005935,0.181251,Disgust
The acting isnt so much poor but the script is pointless and the film isnt even scary despite the atmospheric music.,0.247267,0.13717,0.439267,0.001289,0.350974,Fear
It really is amazing that some group cobbled together this bag of rubbish and thought it would make a good film.,0.094418,0.248036,0.01997,0.52918,0.014711,Joy
It isnt a good film.,0.113337,0.23304,0.550716,0.008427,0.249169,Fear
Its trash and I urge you not to waste a minute of your life on it One out of ten.,0.467109,0.323847,0.212174,0.006056,0.211174,Anger
I cannot believe the same guy directed this crap and Dracula 2000.,0.342512,0.452741,0.256112,0.000349,0.186695,Disgust
Dracula 2000 was innovative fresh and well written if poorly acted.,0.168958,0.04901,0.176469,0.24089,0.278328,Sadness
This pile cant even claim that.,0.101646,0.338187,0.030265,6.7e-05,0.671176,Sadness
It starts with the defeat of Dracula at the end of Dracula 2000.,0.058525,0.020977,0.407967,0.026386,0.537249,Sadness
Then ignores the narrative afterwards describing what happened after that.,0.232928,0.098259,0.148288,0.011974,0.629732,Sadness
Following the narrative properly could have made this a good sequel somehow but Craven chose to go in the style of his older films having no good tie but the main villains name.,0.021573,0.066602,0.305976,0.203505,0.309776,Sadness
Even the actor playing Dracula was different going from dark hair in Dracula 2000 to a blonde here.,0.028221,0.144637,0.288242,0.156702,0.333421,Sadness
Avoid this movie if you have any respect for your taste in movies.,0.134082,0.585677,0.087654,0.071257,0.205362,Disgust
i liked this film a lot.,0.064437,0.332967,0.075916,0.301476,0.145073,Disgust
its dark its not a bulletdodging carchasing numb your brain action movie.,0.084655,0.094081,0.632682,0.019021,0.261016,Fear
a lot of the characters backgrounds and motivations are kinda vague leaving the viewer to come to their own conclusions.,0.072652,0.017386,0.281333,0.082452,0.528871,Sadness
its nice to see a movie where the director allows the viewer to make up their own minds.,0.056793,0.079811,0.024376,0.624119,0.092447,Joy
in the end motivated by love or vengeance or a desire to repent  he does what he feels is right.,0.028351,0.020406,0.04169,0.700336,0.087833,Joy
will god ever forgive us for what weve done  its not a question mortal men can answer  so he does what he feels he has to do what hes good at what hes been trained to do.,0.16495,0.141516,0.03753,0.349339,0.200393,Joy
denzel washington is a great actor  i honestly cant think of one bad movie hes done  and hes got a great supporting cast.,0.08849,0.368819,0.340104,0.124631,0.118335,Disgust
i would thoroughly recommend this movie to anyone.,0.138301,0.241319,0.10795,0.238057,0.221626,Disgust
This is a CGI animated film based upon a French 2D animated series.,0.093429,0.118905,0.212345,0.280145,0.199279,Joy
Travel the world offering up their services as dragon hunters but never getting paid.,0.34124,0.182011,0.099216,0.025491,0.48938,Sadness
Into their lives comes Zoe the fairy tale loving niece of a king who is going blind.,0.032196,0.027734,0.019649,0.395789,0.339979,Joy
It seems the world is being devoured by a huge monster and all of the knights the king has sent out have never returned or if the do return they come back as ashes.,0.112727,0.087664,0.07689,0.125071,0.554512,Sadness
In desperation the king hires the dragon hunters to stop the world eater.,0.206052,0.167699,0.270849,0.065473,0.371472,Sadness
Zoe of course tags along.,0.11054,0.055472,0.131736,0.400613,0.168428,Joy
What can I say other then why is this film hiding under a rock This is a really good little film that is completely off the radar except as unlikely Oscar contender.,0.310854,0.090278,0.126136,0.109821,0.382758,Sadness
Its a beautifully designed fantastic looking film The world it takes place has floating lands and crazy creatures that constantly had me going Wow at it.,0.133077,0.096349,0.136798,0.444215,0.075648,Joy
The English Voice cast with Forrest Whitaker as LianChu one of the best vocal performances Ive ever heard and Rob Paulson as Gwizdo think Steve Bucsemi is first rate.,0.105798,0.141603,0.079508,0.368161,0.187099,Joy
Equally great is the script which doesnt talk down to its audience using some real expressions not normally heard in animated films not Disney nor Pixar.,0.391948,0.199062,0.1715,0.124359,0.181595,Anger
Its all really well done.,0.114936,0.044861,0.120692,0.323965,0.262257,Joy
Is it perfect No some of the bits go on too long but at the same time its is damn entertaining.,0.189718,0.08503,0.209616,0.177144,0.307501,Sadness
If you get the chance see this.,0.062758,0.093037,0.138454,0.241756,0.353861,Sadness
Its one of the better animated films from 2008 and is going on my nice surprise list for 2009.,0.015128,0.041082,0.058567,0.691892,0.074079,Joy
I really looked forward to this program for two reasons.,0.081803,0.025283,0.061628,0.513893,0.166333,Joy
I really liked Jan Michael Vincent and I am an aviation nut and have a serious love affair with helicopters.,0.134232,0.087016,0.085689,0.530311,0.05286,Joy
I dont like this program because it takes fantasy to an unbelievable level.,0.288464,0.383703,0.137735,0.070105,0.242645,Disgust
The world speed record for helicopters was set at 249 mph by a Westland Lynx several years ago.,0.078,0.074062,0.082477,0.345072,0.28274,Joy
The only chopper that was ever faster was the experimental Lockheed AH56A in the 1960s.,0.44723,0.031023,0.188432,0.09058,0.28704,Anger
It hit over 300 and was a compound helicopter which means it had a pusher propeller at the end of its fuselage providing thrust.,0.1752,0.100089,0.105199,0.05784,0.605667,Sadness
In short no helicopter can fly much over 275 because of the principle of rotary wing flight.,0.225688,0.25425,0.277264,0.051951,0.314236,Sadness
And the Bell 222 the actor that portrayed Airwolf wasnt very fast even by helicopter standards.,0.210641,0.265335,0.108711,0.08455,0.397685,Sadness
And it didnt stay in production very long.,0.190809,0.148453,0.132129,0.129582,0.402271,Sadness
There was a movie that came out during this time period called Blue Thunder that was much more realistic.,0.322643,0.03608,0.277425,0.072652,0.355511,Sadness
With Knightly and OTool as the leads this film had good possibilities and with McCallum as the bad guy after Knightly maybe some tension.,0.213176,0.331741,0.37324,0.044696,0.187249,Fear
But they threw it all away on silly evening frill and then later on with maudlin war remnants.,0.423639,0.260391,0.071711,0.003101,0.433046,Sadness
It was of course totally superficial beautiful English country and seaside or not.,0.102401,0.065701,0.063946,0.466092,0.163297,Joy
The number one mistake was dumping Knightly so early on in the film when she could easily have played someone a couple of years older instead of choosing someone ten years older to play the part.,0.111332,0.266105,0.133942,0.003427,0.625701,Sadness
They missed all the chances to have great conflict among the cast and instead stupidly pulled at the easy and lowcost heartstring elements.,0.034043,0.018289,0.146549,0.049258,0.742429,Sadness
This film features two of my favorite guilty pleasures.,0.196195,0.075752,0.007819,0.488114,0.112254,Joy
Sure the effects are laughable the story confused but just watching Hasselhoff in his Knight Rider days is always fun.,0.02271,0.026744,0.058042,0.340656,0.374133,Sadness
I especially like the old hotel they used to shoot this in it added to what little suspense was mustered.,0.202242,0.389387,0.23129,0.092128,0.180049,Disgust
Give it a 3. Former brat pack actor and all round pretty boy Rob Lowe stars in a film set in a high security American prison .,0.114086,0.427895,0.064892,0.095254,0.345736,Disgust
I found Time At The Top an entertaining and stimulating experience.,0.076003,0.060488,0.064457,0.518551,0.138676,Joy
The acting while not generally brilliant was perfectly acceptable and sometimes very good.,0.052124,0.044678,0.010012,0.639396,0.121454,Joy
As a film obviously aimed at the younger demographic it is certainly one of the better works in the genre Childrens SciFi.,0.205155,0.0942,0.118288,0.344002,0.143942,Joy
A good plot and an imaginative screenplay are far more important to them.,0.095242,0.023438,0.059509,0.653901,0.05444,Joy
Both are in abundance in this film.,0.079186,0.117585,0.147161,0.44785,0.086844,Joy
