Sentence,Anger,Disgust,Fear,Joy,Sadness,Top Feeling
A VERY poor effort.,0.305124,0.050019,0.487581,0.000703,0.320133,Fear
Casting unknown Michelle Rodriguez as Diana was a stroke of genius.,0.106424,0.109248,0.546204,0.075184,0.1971,Fear
Her acting inexperience actually works in her favor.,0.248788,0.147562,0.170211,0.206285,0.199246,Anger
Weve never seen her before so it really feels like her story.,0.109252,0.148065,0.150464,0.029368,0.645996,Sadness
She also brings across genuine toughness.,0.002937,0.080356,0.143743,0.310587,0.313455,Sadness
This works against her though because we never doubt her.,0.100981,0.020682,0.677015,0.025232,0.238484,Fear
You never have to cheer for her to win because she never goes up against any fighter we dont think she can beat.,0.059286,0.119229,0.067144,0.202615,0.453121,Sadness
So as a boxing movie it fails.,0.222864,0.123565,0.211728,0.008824,0.572346,Sadness
Then again this isnt really a boxing movie.,0.250593,0.131623,0.226217,0.057167,0.422381,Sadness
How do you make a movie about a girl who wants to be a boxer that isnt a boxing movie You dont.,0.122064,0.219398,0.095698,0.292564,0.189718,Joy
But Karyn Kusama has anyway.,0.20526,0.018818,0.142279,0.059774,0.60225,Sadness
Like many indie films Girlfight defies classification or genre and stands on its own as folklore that could darn near happen in real life.,0.165608,0.290926,0.216053,0.013732,0.464817,Sadness
Diana is doing poorly in school.,0.223741,0.185775,0.289148,0.01556,0.436788,Sadness
She beats up people she doesnt like all the other girls in her school for example.,0.273184,0.6854,0.048018,0.003181,0.179634,Disgust
She doesnt fit in.,0.359556,0.257225,0.182214,0.041672,0.308033,Anger
Her father is forcing her kid brother Tiny to learn to box so he can defend himself when things get tough.,0.484943,0.176045,0.110673,0.006431,0.398762,Anger
He gives Tiny money for his boxing sessions and gives Diana nothing as if she has no need to defend herself nor anything worthwhile to make of her life.,0.452096,0.218659,0.063701,0.138506,0.170294,Anger
Tiny wants to go to art school cliche yuck so he gives up his boxing allowance to Diana who actually wants to box.,0.324645,0.397355,0.133844,0.075706,0.189767,Disgust
Things get complicated when Diana falls for another boxer Adrian Santiago Douglas whos looking to turn pro.,0.112962,0.246961,0.279327,0.03096,0.446662,Sadness
From there the story winds down toward the inevitable.,0.055966,0.100412,0.336645,0.133264,0.344281,Sadness
the two meet in the amateur title fight.,0.195373,0.105666,0.065302,0.087812,0.561283,Sadness
What left me cold was that I never found any of this all that interesting.,0.145574,0.00578,0.357283,0.008073,0.577925,Sadness
Its all just a bit too believable.,0.262123,0.059786,0.259927,0.130088,0.294504,Sadness
Kids with tough lives growing up in rough urban areas fall back on sports.,0.068227,0.073858,0.179763,0.023224,0.710933,Sadness
A lot of professional boxers have risen from these circumstances.,0.203339,0.042494,0.08966,0.427105,0.120099,Joy
The mental and physical toughness this upbringing requires lends itself to a game like boxing where anger is your friend.,0.418368,0.117414,0.109624,0.03207,0.449675,Sadness
So this time its a girl.,0.085973,0.324014,0.083788,0.258836,0.182284,Disgust
Or theres another position to take finally a boxing movie about a girl.,0.125373,0.156628,0.070425,0.426262,0.111931,Joy
Womens boxing has been around a long time.,0.122,0.07389,0.164737,0.283284,0.249926,Joy
The brutality we usually see in boxing films is replaced here by discussions of peoples their lives and their feelings.,0.256601,0.251657,0.131447,0.058788,0.401545,Sadness
The whole fighting thing is used as a platform from which to paint a larger picture.,0.187401,0.356557,0.138329,0.084037,0.310739,Disgust
I recommend Girlfight because it has a good spirit and is an example of some great work by a first time director.,0.028553,0.019202,0.070514,0.680437,0.077247,Joy
The dialogue never rises above soap opera quality but the story itself actually changed my view on some things.,0.135573,0.145634,0.03519,0.523431,0.055362,Joy
Yes the world now seems like a better place.,0.027294,0.029473,0.028,0.541073,0.205536,Joy
A film did that.,0.151612,0.361877,0.118007,0.237204,0.103284,Disgust
The guy did a lot of title design for a bunch of movies and I guess one day he said.,0.205477,0.071167,0.12036,0.056568,0.593794,Sadness
I should pick a cheap scenario try to put as much title in it as a can  cause after all im a title designer  and try to persuade people that this is in fact a movie.,0.283854,0.21446,0.036999,0.002488,0.619476,Sadness
One of the worst ive even seen thats for sure.,0.115442,0.703543,0.152085,0.003421,0.191008,Disgust
If you fell the urge to see nice titles go check out some posters dont waste your time watching this.,0.229056,0.103942,0.095057,0.144502,0.404113,Sadness
It kinda ironic dont you think did you saw the poster the only part of his project that SHOULD had title work done have almost none .,0.114559,0.276749,0.104886,0.080297,0.471829,Sadness
There is nothing unique in either the TV Series nor the Movie.,0.468387,0.087287,0.056615,0.036207,0.455683,Anger
Which is a prequel to the TV Show that isnt found everywhere else in life and entertainment.,0.112763,0.04776,0.057303,0.100446,0.646718,Sadness
Both before David Lynches disgusting style of story telling and after.,0.015452,0.915068,0.109367,0.006855,0.0141,Disgust
From the Moment the body of a poor misguided girl washed up on the beach.,0.073165,0.646475,0.359232,0.006226,0.089124,Disgust
And being introduced to some of the most mind numbing shady immoral character of the Twin Peaks.,0.221372,0.132199,0.187733,0.034761,0.517075,Sadness
I watched it all just to make sure I wasnt missing anything.,0.103634,0.110672,0.094834,0.20486,0.401461,Sadness
Its is simply one mans obvious sexual fetish extended over long series fallowed by a ridiculous overly pornographic movie.,0.227321,0.660047,0.013291,0.004913,0.26413,Disgust
Save your self the agony the suspense and watch anything else that at least has the ability to tell a story rather then seduce you into some kind mental porn movie.,0.083761,0.304478,0.079011,0.003187,0.661594,Sadness
I have heard a lot of reviews rants and raves about how great David Lynch.,0.235211,0.139536,0.269553,0.284138,0.019867,Joy
Because of his ability to define misery and and tragedy and making it into some kind of a wonderful thing.,0.102311,0.114416,0.029348,0.370177,0.248134,Joy
This is not life imitating art as much as it is some sick twisted version of art doing its best to inspire complete mindless life.,0.011635,0.091432,0.061655,0.52764,0.155968,Joy
Do yourself a favor and avoid this garbage.,0.436143,0.444758,0.139623,0.002547,0.208399,Disgust
SPOILERS All too often Hollywoods Shakespeare adaptations entertaining pieces of cinema.,0.11973,0.132158,0.064881,0.364625,0.20074,Joy
Beautifully shot they are well performed and faithful to the text.,0.127227,0.054911,0.178661,0.09611,0.528346,Sadness
Films including Branaghs Henry V and 1993s Much Ado About Nothing are powerful pieces of work.,0.12215,0.478038,0.110665,0.122532,0.210057,Disgust
Watching Loves Labours Lost therefore its such a huge disappointment for expectation to be so hideously thrown to waste.,0.231825,0.218827,0.060823,0.003301,0.636431,Sadness
Sadly Loves Labours Lost is awful The King of Navarre Alessandro Nivola and his friends have forsaken drink and women for three years to focus on their studies.,0.033168,0.272041,0.06387,0.008842,0.719563,Sadness
Plans begin to fall apart however when the enigmatic Princess of France Alicia Silverstone and her entourage arrive.,0.195491,0.054401,0.430798,0.079535,0.284017,Fear
Soon love is in the air and philosophy is off the Princes mind.,0.042329,0.042856,0.062668,0.69959,0.046112,Joy
From the start you realise that this film is not quite Shakespeare.,0.062722,0.114902,0.281275,0.062656,0.509106,Sadness
Cleverly relocated into a 1930s musical by Ken Branagh the plot is still there and the script remains but now it has been sacrificed in favour of dire musical taste.,0.082987,0.60511,0.126314,0.014607,0.310149,Disgust
Classics like The Way You Look Tonight Lets Face The Music and Dance Im in Heaven are all destroyed by weak singing and a strong feel that they just dont belong here.,0.118133,0.074605,0.033112,0.461352,0.173536,Joy
Aside from weak singing we are also treated to an increasingly large number of awkward performances by regular stars.,0.109911,0.40172,0.086001,0.069895,0.397541,Disgust
Ken Branagh and friends might enjoy making this film but they provide us with a stomach turning collection of roles.,0.041778,0.199846,0.02384,0.50481,0.107377,Joy
The main eight actors four men  four women are all equally dire and the only positive on their behalf is a vast improvement on the truly dreadful Timothy Spall.,0.036542,0.395759,0.057086,0.207177,0.246697,Disgust
In fact only one individual leaves the film worthy of any praise and thats the consistently magnificent Nathan Lane.,0.273386,0.273677,0.088426,0.141521,0.254123,Disgust
Lane has proved over the years that he is a comedy genius and in this feature he once again adds an air of humour to the jester Costard.,0.356108,0.214862,0.055027,0.169475,0.210178,Anger
Theres little else to be said really.,0.214111,0.170627,0.168236,0.018041,0.560699,Sadness
Loves Labours Lost deserves mild praise for Branaghs original take on an old tale.,0.048232,0.219927,0.076778,0.292531,0.257024,Joy
Unfortunately though thats where the positives end.,0.039829,0.021912,0.26057,0.078219,0.579692,Sadness
Weakly acted performed sang and constructed Loves Labours Lost is perhaps the weakest Shakespeare adaptation of the last forty years.,0.103484,0.142988,0.101656,0.047854,0.650521,Sadness
It should be avoided like the plague and should never have been made.,0.211153,0.41031,0.217733,0.011143,0.337408,Disgust
A poor disappointing choice by Branagh and heres hoping his next effort is better.,0.077499,0.047199,0.250432,0.00557,0.699538,Sadness
The major problem is that the character is underwritten and the actor who plays him Blake Shields is unable to embellish any script deficiencies .,0.26381,0.056779,0.220105,0.003996,0.589947,Sadness
God I was bored out of my head as I watched this pilot.,0.091206,0.064547,0.079249,0.040137,0.747654,Sadness
But the thing failed miserably at grabbing my attention at any point of its almost two hours of duration.,0.227899,0.124665,0.087494,0.002835,0.687852,Sadness
In all that time it barely went beyond its two line synopsis and I would be very hard pressed to try to figure out any kind of coherent plot out of all the mess of strands that went nowhere.,0.279173,0.406745,0.168585,0.000336,0.358668,Disgust
On top of that I dont think the acrobatics outdid even those of any regular ATeam episode.,0.102421,0.339921,0.073157,0.145869,0.333253,Disgust
You can count me out of this one Mr. I dont know why some guys from US Georgia or even from Bulgaria have the courage to express feelings about something they dont understand at all.,0.33404,0.256804,0.182389,0.012094,0.397979,Sadness
For those who did not watch this movie  watch it.,0.217721,0.231224,0.074321,0.081246,0.451501,Sadness
Dont expect too much or dont put some frameworks just because this is Kosturica.,0.191703,0.34712,0.062806,0.065505,0.42123,Sadness
The comment should be useful and on second place should represent the personal view of the writer.,0.274315,0.542145,0.105513,0.113766,0.049099,Disgust
I think the movie is great and people watch it must give their respects to the director and story told inside.,0.061833,0.178659,0.027806,0.458578,0.145971,Joy
It is simple but true.,0.023939,0.013954,0.024574,0.771327,0.067124,Joy
It is brutal but gentle and makes you laugh to dead.,0.115026,0.155137,0.035326,0.064634,0.648264,Sadness
This movie makes a statement about Joseph Smith what he stood for and what the LDS church believes.,0.136795,0.123681,0.038643,0.326893,0.257928,Joy
With all the current media coverage of a certain fugitive people have confused the LDS church with the FLDS church and criminal fugitive Warren Jeffs.,0.275504,0.587438,0.038626,0.001457,0.293167,Disgust
Jeffs is Not associated with the LDS church yet media groups internationally have asked for comments about Jeffs from The LDS church.,0.220231,0.327126,0.12586,0.043052,0.413557,Sadness
This is a movie about Joseph Smith and a great one at that.,0.053709,0.040347,0.074162,0.537228,0.144543,Joy
Some of the most obvious differences between Jeffs and Joseph is portrayed in Josephs humanity acceptance and love.,0.089919,0.09391,0.009629,0.648955,0.054206,Joy
Jeffs views and opinions differ greatly from Joseph Smith and the LDS Church and it is seen in this movie.,0.152811,0.167244,0.104087,0.233143,0.275512,Sadness
Jeffs thinks of the Negro as devils.,0.186002,0.213565,0.21516,0.021764,0.495216,Sadness
Joseph Smith knew they were children of god and gave up his wifes favorite horse to a African American former slave to buy his sons freedom.,0.074817,0.25745,0.095656,0.15429,0.389664,Sadness
Jeffs brought one of his polygamist wives to her knees in front of a class full of students by grabbing her braid and twisting it painfully till she came to her knees.,0.179982,0.443601,0.135591,0.0451,0.32194,Disgust
Lastly Joseph participated with law enforcement and sought aid from the government at all times.,0.330877,0.486391,0.090115,0.035742,0.225417,Disgust
Jeffs thumbs his nose at government and flees at all times.,0.224526,0.643359,0.181708,0.005264,0.145841,Disgust
I loved this movie and if you dont know much about Joseph Smith and what the LDS church believes then this is the movie to see.,0.041352,0.039962,0.047144,0.473045,0.230434,Joy
And if you had confused the LDS Church with the FLDS church then you really need to get your act together.,0.203833,0.103878,0.15187,0.047143,0.568776,Sadness
We are not much different from anyone who believes in Jesus Christ the Sanctity of marriage and the family as well a patriotic to our homeland and country.,0.026911,0.065543,0.009948,0.631615,0.130022,Joy
We are all different as well just like you can find different protestants Presbyterians methodist baptist and Catholics.,0.111606,0.067447,0.21159,0.289213,0.213689,Joy
Whats important is our message and what we stand for.,0.303097,0.037459,0.050958,0.345818,0.161021,Joy
This movie trys to portray that but there is so much of Josephs life that cant be covered in a mere 2 hour movie.,0.064396,0.170955,0.061502,0.235106,0.371223,Sadness
This was a really great show.,0.05409,0.054969,0.06257,0.595665,0.099799,Joy
A really very bad movie with a very few good moments or qualities.,0.129194,0.039778,0.134013,0.306181,0.269291,Joy
It starts off with pregnant Linda Blair who runs down a hallways to flee what might be monsters or people with pitchforks Im not sure.,0.124706,0.203703,0.550301,0.024287,0.230326,Fear
She jumps through a window and wakes up and we see she is very pregnant.,0.356503,0.167706,0.255624,0.097307,0.20423,Anger
The degree to which she is pregnant varies widely throughout the movie.,0.165632,0.135889,0.14931,0.247393,0.235457,Joy
She and an annoying and possibly retarded little boy who I thought was her son travel to an abandoned hotel on an island.,0.484629,0.389661,0.246618,0.00922,0.100656,Anger
Hes taking photographs and shes translating an esoteric German book about witches I think.,0.163874,0.169535,0.317679,0.065047,0.353933,Sadness
Also traveling to the island are an older couple who have purchased it and a real estate agent and a woman I thought was their daughter.,0.037531,0.245269,0.051859,0.28544,0.279004,Joy
Evidently she was an architect and Linda Blair and the boy are the older couples children.,0.134832,0.408229,0.10767,0.185716,0.162208,Disgust
I guess they all traveled to the island together but it really seemed like Linda and the boy were apart from the rest of them maybe they were filmed separately.,0.138072,0.246343,0.185283,0.075828,0.417529,Sadness
The hotel seems neat certainly from the exteriors but it isnt used to any great effect.,0.064383,0.081079,0.178087,0.161948,0.445684,Sadness
An old woman in bad makeup and a black cloak keeps appearing to the boy and chants something in German sometimes which he eventually records on his Sesame Street tape recorder.,0.15747,0.380805,0.254224,0.004288,0.390375,Sadness
People start getting killed either in their dreams or sucked into hell or something.,0.436814,0.113063,0.175836,0.000297,0.452163,Sadness
Some of these gore scenes are OK but not enough to recommend the movie.,0.237956,0.292715,0.108445,0.011657,0.505207,Sadness
Though the copy I watched stated it is uncut on the box cover the death of one character whose veins explode really seems to have been cut.,0.20044,0.089531,0.256224,0.002538,0.58961,Sadness
Much of the scene is showing another characters reaction shots since were not seeing anything ourselves.,0.197556,0.313561,0.108949,0.003669,0.545052,Sadness
The creepiest scene is one in which a man or demon with a really messylooking wound of a mouth rapes someone.,0.1312,0.73499,0.184957,0.000513,0.122268,Disgust
He looked particularly nasty.,0.159062,0.646002,0.268334,0.005389,0.115674,Disgust
Theres a laughably and painfully bad scene in which Linda Blair is possessed.,0.202543,0.325544,0.124506,0.005008,0.515195,Sadness
I wish if a horror movie is going to cast her they would do something original with her role and let her leave Exorcist behind her except for the yearly horror conventions.,0.037443,0.114633,0.754725,0.001617,0.192661,Fear
In the weird largely Italian tradition of claiming to be a sequel to something it is unrelated to this is also AKA La Casa 4 and Ghosthouse 2. That is it is supposedly a sequel to Casa 3  Ghosthouse La 1988  its not thats also a better movie than this one.,0.056006,0.110931,0.088622,0.100493,0.611031,Sadness
La Casa 1 and two were The Evil Dead 1981 and Evil Dead II 1987  again unrelated to Witchery and La Casa 3 and much better than those.,0.160255,0.346773,0.153812,0.049944,0.398999,Sadness
Hows The Horror Show fit in there It doesnt really it claimed to be a sequel thus requiring the real series entry to renumber itself to cause less or more confusion.,0.112269,0.045907,0.646612,0.001739,0.307774,Fear
Oddly The Horror Show is also AKA Horror House and La Casa 5 is also AKA Horror House 2. Does your head hurt yet.,0.011835,0.086177,0.858458,0.001143,0.115805,Fear
Absolutely one of the worst movies of all time.,0.155981,0.755654,0.1156,0.017679,0.098846,Disgust
Low production values terrible story idea bad script lackluster acting.,0.340362,0.491263,0.205193,0.000155,0.198338,Disgust
and I cant even come up with an adjective suitably descriptive for how poor Joan Rivers directing is.,0.142917,0.09251,0.171363,7.7e-05,0.712014,Sadness
I know that theres a special place in Hell for the people who financed this film.,0.300707,0.418806,0.100348,0.047693,0.277157,Disgust
prolly right below the level reserved for childraping genocidal maniacs.,0.265556,0.13675,0.221671,0.124061,0.280665,Sadness
This movie is a trainwreck.,0.084156,0.076166,0.102581,0.398616,0.198121,Joy
Terrible x infinity  Rabbit Test.,0.318567,0.155661,0.417361,0.014434,0.269659,Fear
Avoid this at all costs.,0.315961,0.276384,0.31734,0.007351,0.289456,Fear
Its so bad it isnt even funny how bad it is.,0.282444,0.319964,0.151076,1e-06,0.446939,Sadness
This is a strong movie from a historical and epic perspective.,0.050784,0.034266,0.046034,0.460654,0.238834,Joy
While the story is simple it is pure and straightforward.,0.040771,0.018525,0.01594,0.635117,0.144632,Joy
In truth it is the standard story of a simple honorable man whose honor comes into conflict with the more educated and wealthier men of the period.,0.078743,0.337644,0.032042,0.244915,0.239946,Disgust
Rich honorable vs. dishonorable a classic but welltold tale without much of the glitz of hollywood stinking up the screen.,0.221533,0.284155,0.066582,0.009498,0.566515,Sadness
Extra points just because you can almost smell the people on the screen.,0.061419,0.652953,0.016123,0.022589,0.351521,Disgust
A long film about a very important character from South Africa Stephen Biko.,0.206093,0.169124,0.066178,0.29815,0.184457,Joy
He is one of these Blacks who did not survive apartheid who actually died a long time before their normal time.,0.04644,0.148733,0.230692,0.023488,0.629398,Sadness
The already old film though does not show how important Biko was what he really represented.,0.261655,0.378054,0.29977,0.030247,0.209404,Disgust
His life and his teaching is reduced to little at best a few witty remarks.,0.022529,0.027294,0.101132,0.683937,0.048808,Joy
The film being from 1987 the objective was to push South Africa over the brink that would lead her to liberation.,0.169203,0.224604,0.070538,0.167005,0.35873,Sadness
So the film aims at showing how irrational the South African supporters of apartheid are in 1987.,0.646801,0.287698,0.07222,0.051978,0.074795,Anger
To show this the film has to look beyond Bikos death hence to center its discourse not on Biko but on a white liberal journalist and his escaping the absurd system in which he is living.,0.366436,0.480753,0.049881,0.013164,0.280473,Disgust
The film shows a way to escape South Africa while apartheid is still standing and killing.,0.645395,0.111523,0.07412,0.025017,0.270054,Anger
So do not expect this way to be realistic and true.,0.129761,0.148768,0.036968,0.347301,0.223957,Joy
It could not be.,0.170852,0.132864,0.169519,0.17763,0.315218,Sadness
The film is strong and emotional but that very historical limit makes it rather weak today especially since the film does not mention the third racial community the Indians.,0.097905,0.16722,0.056956,0.044779,0.677645,Sadness
Panegyric books or films all have that defect they are looking at the person they are supposed to portrait from only one point of view.,0.308437,0.315979,0.067082,0.082538,0.314246,Disgust
That explains why the film has aged so much seems to be coming from so long ago as if nothing had changed at all.,0.256541,0.214847,0.144001,0.022404,0.501469,Sadness
A remake is necessary.,0.166143,0.125766,0.149777,0.220605,0.282656,Sadness
Dr Jacques COULARDEAU University Paris 1 Pantheon Sorbonne University Versailles Saint Quentin en Yvelines CEGID.,0.095502,0.091476,0.046571,0.503056,0.134729,Joy
This is one of the better comedies that has ever been on television.,0.10131,0.021516,0.071149,0.499596,0.157674,Joy
Season one was hilarious as were most of the following seasons.,0.054905,0.033246,0.063618,0.565119,0.136128,Joy
The only reason that I give this show a 910 is because of the unfortunate final season.,0.039101,0.121974,0.170506,0.046271,0.653972,Sadness
The only good part of the final season was the finale.,0.03133,0.024382,0.049174,0.452623,0.264959,Joy
My favorite part of this show was the scenes that cut to peoples imaginations often depicting the characters in famous TV shows or movies from the 70s.,0.104208,0.150646,0.038556,0.243251,0.371716,Sadness
It is a rare show in that i liked every character with the exception of the final season.,0.092069,0.090708,0.051082,0.375474,0.249851,Joy
too late to try to develop a new character and fez wasnt nearly as funny.,0.07095,0.028828,0.104537,0.537423,0.115818,Joy
Reds foot in your ass comments never got old nor did Kelsos stupidity.,0.376021,0.348185,0.097113,0.008274,0.368685,Anger
Bravo to fox for keeping such a good show so long too long even.,0.058712,0.349936,0.080069,0.195212,0.273741,Disgust
If you liked Roman Polanskis Repulsion you should probably check out The Tenant since its a similar concept just with Polanski stepping in and playing the schizophrenic wacko.,0.071097,0.163226,0.27407,0.049224,0.50137,Sadness
It gets to the point where he is dressing and acting like the former tenant and you realize its only a matter of time before he decides tor reenact her fatal leap out the window.,0.18687,0.227199,0.045631,0.036724,0.596168,Sadness
The film is a bit slow and dawdling for a while but if you have ever seen a Roman Polanski movie you should know its going to end with a bang and this flick doesnt disappoint.,0.255194,0.177636,0.136381,0.014381,0.550587,Sadness
Its also best if you dont question the intricacies of the premise and just take it as a descent into madness because its pretty trippy surreal at times.,0.076131,0.058754,0.118173,0.47294,0.134375,Joy
Polanski is very good as the timid deranged resident who somehow attracts the ever illustrious Isabelle Adjani.,0.061286,0.364102,0.160823,0.211748,0.163542,Disgust
Back in 1985 I caught this thing I cant even call it a movie on cable.,0.297441,0.11376,0.126445,0.009435,0.591921,Sadness
I was in college and I was with a high school friend whose hormones were raging out of control.,0.349687,0.272576,0.261829,0.071202,0.169907,Anger
I figured out early on that this was hopeless.,0.183417,0.083155,0.44166,0.030352,0.365866,Fear
Stupid script a bunch of old guys hiring some young guys to show them how to score with women bad acting with one exception and pathetic jokes.,0.448554,0.595798,0.081895,0.000904,0.103269,Disgust
The plentiful female nudity here kept my friend happy for a whilebut even he was bored after 30 minutes in.,0.024107,0.056229,0.017795,0.183087,0.593055,Sadness
Rememberthis was a HIGH SCHOOL BOY This was back before nudity was so easy to get to by the Internet and such.,0.149268,0.088374,0.172442,0.294444,0.199054,Joy
We kept watching hoping for something interesting or funny but that never happened.,0.052482,0.021251,0.050037,0.589697,0.138794,Joy
Only Grant Cramer in the lead showed any talent and has actually gone on to a career in the business.,0.082404,0.114933,0.147348,0.469008,0.069198,Joy
Nobudget and boring ta.,0.200901,0.125761,0.13982,0.008152,0.652115,Sadness
I hired this movie expecting a few laughs hopefully enough to keep me amused but I was sorely mistaken.,0.252954,0.032204,0.259808,0.251755,0.132995,Fear
This movie showed very minimal moments of humour and the pathetic jokes had me cringing with shame for ever hiring it.,0.314708,0.419533,0.02563,0.002869,0.428782,Sadness
Aimed at an age group of 1015 this movie will certainly leave viewers outside of these boundaries feeling very unsatisfied.,0.075203,0.124682,0.235343,0.136552,0.401155,Sadness
Worth no more than 3 votes highly unrecommended for anyone not wanting to waste 2 hours of their lives.,0.335086,0.421455,0.035857,0.001095,0.409828,Disgust
Robert Forster normally a very strong character actor is lost at sea here cast as a New York family man seeking revenge on the thugs who murdered his son and attacked his wife in a home invasion.,0.403,0.515114,0.081251,0.010048,0.203326,Disgust
Scary subject matter exploited for cheapjack thrills in the Death Wish vein.,0.12198,0.136622,0.626266,0.002469,0.255141,Fear
Lowrent production is contemptible in its selfrighteousness especially as the violence in our cities has only increased.,0.436018,0.394111,0.088042,0.023329,0.243692,Anger
from .,0.0,0.0,0.0,0.0,0.0,Anger
Cartoon Network seems to be desperate for ratings.,0.310463,0.077749,0.121462,0.00114,0.630522,Sadness
Beginning with the cancellation of Samurai Jack the network seemed hellbent on removing all the shows that made it so popular such as the Powerpuff Girls Dexters Lab Dragonball Z etc.,0.180873,0.227426,0.209645,0.119565,0.300464,Sadness
When the ratings started to plummet CN began putting up some pretty mediocre shows.,0.146152,0.187882,0.342482,0.119235,0.226741,Fear
There is even a rival genius named Bling Bling Boy or Eugene who appears to be sitting in for Mandark.,0.051795,0.502997,0.184479,0.016835,0.377667,Disgust
Then theres Dookie Johnnys best friend and talking dog one of Dexters.,0.038107,0.107844,0.119345,0.397981,0.195654,Joy
I mean Susan and Marys early experiments.,0.336388,0.024192,0.094792,0.330291,0.119948,Anger
Dexters Laboratory was probably one of the best cartoons on television with its simple but effective art style lovable main character and episodes that dont seem to be a long drag.,0.018553,0.030121,0.026464,0.733366,0.080876,Joy
Johnny Test is a lot different.,0.167549,0.073294,0.312315,0.163126,0.261675,Fear
The art style here isnt nearly as eyepleasing.,0.084221,0.043756,0.127264,0.532557,0.079922,Joy
In fact it looks absolutely awful.,0.234994,0.695307,0.118702,0.006562,0.130514,Disgust
The characters have motivations that make them really annoying or repulsive.,0.62914,0.13368,0.072289,0.020062,0.28485,Anger
Like how most of the series episodes consist Johnny and Dookies quest for havoc on the neighborhood girl Sissy whom Johnny secretly likes or the twins obsession over a boy next door.,0.173843,0.274899,0.126269,0.156496,0.278299,Sadness
One thing the series heavily exploits in its name is that Johnny is Susan and Marys guinea pig for their experiments.,0.447839,0.122309,0.026879,0.275741,0.07799,Anger
These range from turning Johnny fat ugly monstrous and even into a woman.,0.059992,0.70983,0.050183,0.001976,0.31162,Disgust
The twins then help Johnny in whatever scheme hes planning in return for his services.,0.220036,0.041685,0.042677,0.287612,0.300667,Sadness
Whenever theres an episode involving this kind of winwin deal it usually comes undone at the seems and those that doesnt come completely off the rails never ends satisfyingly.,0.256926,0.203538,0.267167,0.036728,0.367775,Sadness
The writing ranges from mediocre to horrid however.,0.246222,0.235262,0.212157,0.039175,0.390459,Sadness
The fat episode constantly repeats Its Phat with a PH.,0.410622,0.277437,0.139394,0.039169,0.289764,Anger
Theres a difference you know.,0.160582,0.140535,0.165558,0.153551,0.3598,Sadness
which is a line that should never be repeated especially when the episode seems to PROMOTE child obesity with Johnny becoming a famous star with money and videogames just by becoming fat.,0.196688,0.655625,0.046864,0.017827,0.236937,Disgust
Lets talk about how the show doesnt completely rip off Dexters Lab.,0.281549,0.207379,0.14451,0.103144,0.325604,Sadness
The show tosses in a lot of characters from two MeninBlack named Mr.,0.053712,0.509249,0.140678,0.127089,0.191364,Disgust
Black and Mr. To top it all off alongside its ugly animation and unlikeable characters the voice acting is either passable like the voices for Mr. Black and Mr. White to just plain earsplitting Johnny Dookie and just about every villain in the show.,0.242432,0.47978,0.204103,0.012997,0.255159,Disgust
The theme song seems to be the only catchy thing to this show but then it was redone just a few episodes with a band that just ruined it.,0.093947,0.204798,0.11531,0.120888,0.456302,Sadness
So in the end Johnny Test is not a good cartoon.,0.107347,0.062424,0.48511,0.03355,0.390076,Fear
Its just another one of those crappy shows that Cartoon Network is overpromoting to trick people to watching it like MTV toward rap.,0.264829,0.419929,0.097527,0.008387,0.396671,Disgust
If you need a show that will satisfy your children for a half hour youd better stick to Spongebob because Johnny Test is more of a test of patience than anything else.,0.295654,0.203552,0.133527,0.164241,0.222457,Anger
What a shame that a really competent director like Andre de Toth who specialized in slippery shifting alliances didnt get hold of this concept first.,0.309872,0.300584,0.070388,0.017238,0.469448,Sadness
He could have helped bring out the real potential especially with the interesting character played by William Bishop.,0.05128,0.031855,0.065611,0.439645,0.243109,Joy
As the movie stands its pretty much of a mess as asserted by reviewer Chipe.,0.284001,0.388505,0.22626,0.059221,0.183111,Disgust
The main problems are with the direction cheap budget and poor script.,0.160073,0.170214,0.394302,0.000443,0.439054,Sadness
The strength lies in an excellent cast and an interesting general concept characters pulled in different directions by conflicting forces.,0.162142,0.084493,0.067299,0.378918,0.187803,Joy
Also a bigger budget could have matched up contrasting location and studio shots and gotten the locations out of the alltooobvious LA outskirts.,0.11249,0.302105,0.160775,0.022622,0.524361,Sadness
The real shame lies in a waste of an excellent cast Hayden Taylor before his teeth were capped Dehner Reeves along with James Millican and William Bishop shortly before their untimely deaths.,0.22623,0.530375,0.063149,0.036787,0.285483,Disgust
Few films illustrate the importance of an auteurwithvision more than this lowly obscure Western which in the right hands could have been so much more.,0.087514,0.330031,0.189185,0.197567,0.168931,Disgust
Knights was just a beginning of a series a pilot one might say.,0.160377,0.0614,0.152415,0.214779,0.335371,Sadness
And it was told that cyborgs were hard to kill but after a months training Nea could kill them with a single blow.,0.058929,0.105935,0.262148,0.000978,0.679403,Sadness
The movie was just pure kicking.,0.165966,0.039324,0.07598,0.366209,0.220425,Joy
I wasnt surprised at all when I found out that the leading star was a kick boxer.,0.122328,0.241383,0.169244,0.046046,0.509819,Sadness
There was ONE positive thing in the whole movie it really gave a great deal of laughter when watching it and talking about it with my friends.,0.03524,0.024833,0.043347,0.757951,0.044207,Joy
I recommend watching it if you are in need of laughter.,0.104061,0.066451,0.063073,0.517846,0.116022,Joy
